년월,HEAT_NO,LOT_NO,공정코드,구분,공장명,주조구분,재료코드,강종그룹,강종코드,투입중량,생산중량,사내강종명,사내강종명(제강),구)사내강종명,품목,형상,용도,표면,열처리,외경,폭,내경,수요가명,수주번호,수주행번,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,발행구분,CAST내 수,CAST내 순,STRAND_NO,STRAND_SEQ,주조완료일,주여구분,지시GR종류,생산GR종류,생산GR공정,제강검사완료일,작업일,강관소재여부,주설비구분
202304,S53407,B320668800,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,438",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5,5,0,(주)세아메탈,D2023030131,044,8100,2023-04-09,5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-09,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666206,9Y01,압연,산세,T,7730,SSH,SSH034,"1,663","1,439",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666205,9Y01,압연,산세,T,7730,SSH,SSH034,"1,670","1,437",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666204,9Y01,압연,산세,T,7730,SSH,SSH034,"1,699","1,465",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666203,9Y01,압연,산세,T,7730,SSH,SSH034,"1,553","1,336",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666202,9Y01,압연,산세,T,7730,SSH,SSH034,"1,284","1,114",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666200,9Y01,압연,산세,T,7730,SSH,SSH034,"3,324","1,431",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,5.5,5.5,0,고려특수선재 (주),D2023040136,005,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666304,9Y01,압연,산세,T,7730,SSH,SSH034,"1,590","1,407",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,만호제강(주)창원공장,D2023040174,003,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53407,B320666302,9Y01,압연,산세,T,7730,SSH,SSH034,"1,602","1,413",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,5.5,5.5,0,만호제강(주)창원공장,D2023040174,003,8100,2023-04-07,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-07,1,4,4,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669102,9Y01,압연,산세,T,7730,SSH,SSH034,"1,619","1,433",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,6,6,0,(주)세아메탈,D2023040204,033,8100,2023-04-09,6,0,,,0,0,,,0,0,,,0,0,8100,2023-04-09,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
