년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,강종그룹,강종코드,사내강종명,구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,사내강종명(제강),주설비구분,재료코드,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량
2023-01-19,2,9,S52803,B310157509,D23W1W0582,110,T,SSK,SSK012,STS304CUS4,S302CU,CSS304CUD,W,WR,DH,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,007,D23W01W1310,STS304CUS4,W,7730,N,2023-01-19,3,9W91,산세,1,150,8100,소형압연,2,S75,취급흠,제품불량,표면,4,JR,폐기,2023-01-19,D,2023-01-08,2023-01-08,2023-01-09,,\2,\2,\2,\4,A,A,8301,2023-01-09,8100,2023-01-10,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-10,D,2023-02-02,,
2023-01-20,2,9,S52429,B2C0093865,E23W1W0109,110,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,8,8,,S1341,JIANGSU TRI-M,E2023010056,007,E23W01W0096,STS420FS2,W,7530,N,2023-01-20,3,9W91,산세,1,"1,101",V000,소형생산실공통,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-20,,2022-12-01,2022-12-01,2022-12-03,,\1,\1,\6,\6,C,C,8301,2022-12-04,8100,2023-01-12,8,0,,,0,0,,,0,0,,,0,0,8100,2023-01-12,B,2023-02-02,,
2023-01-20,2,9,S52725,B310187602,E23W1W0222,70,T,SSA,SSA118,STS304S5,S304,SUS304,W,WR,DM,PK,SL,13,13,,S1394,MORY INDUSTRIES INC,E2023010032,003,E23W01W0145,STS304S5,W,7730,N,2023-01-20,3,9W91,산세,1,250,8100,소형압연,2,S19,SEAM+종크랙,제품불량,표면,4,JR,폐기,2023-01-20,C,2023-01-02,2023-01-03,2023-01-03,,\5,\5,\1,\11,,,,,8100,2023-01-19,13,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,C,2023-02-02,,
2023-01-20,2,9,S52797,B310320506,E23W1W0276,80,T,SSA,SSA123,STS304ES2,S304E,PSS304E,W,WR,DZ,PK,SL,12.5,12.5,,S5961,PIATTINE E PROFILI INOX S.R.L,E2023010142,001,E23W01W0370,STS304ES2,W,7730,N,2023-01-20,3,9W91,산세,1,155,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-20,D,2023-01-07,2023-01-08,2023-01-08,,\4,\3,\3,\1,A,A,8301,2023-01-17,8100,2023-01-19,12.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,D,2023-02-02,,
2023-01-20,2,9,N28549,B2C0272001,D22WCW1221,140,I,SML,SML043,STS430LNBS5,,430LNB,W,WR,DW,PK,,5.5,5.5,,S1095,"KOWEL CO., LTD",D2022120232,001,D22W12W0230,STS430LNBS5,W,D013,N,2023-01-20,3,9W91,산세,1,150,GT00,3제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-20,,2022-12-13,,2022-12-13,,\1,\1,,,A,A,8301,2022-12-18,7105,2022-12-14,160,160,8100,2023-01-10,5.5,0,,,0,0,,,0,0,8100,2023-01-10,B,2023-02-02,,
2023-01-20,2,9,N28549,B2C0272001,D22WCW1221,140,I,SML,SML043,STS430LNBS5,,430LNB,W,WR,DW,PK,,5.5,5.5,,S1095,"KOWEL CO., LTD",D2022120232,001,D22W12W0230,STS430LNBS5,W,D013,N,2023-01-20,3,9W91,산세,1,150,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-20,,2022-12-13,,2022-12-13,,\1,\1,,,A,A,8301,2022-12-18,7105,2022-12-14,160,160,8100,2023-01-10,5.5,0,,,0,0,,,0,0,8100,2023-01-10,B,2023-02-02,,
2023-01-20,2,9,S52429,B2C0093847,D23W1W0380,110,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,6,6,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,040,D23W01W0991,STS420FS2,W,7530,N,2023-01-20,3,9W91,산세,1,"1,098",V000,소형생산실공통,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-20,,2022-12-01,2022-12-01,2022-12-03,,\1,\1,\5,\7,C,C,8301,2022-12-04,8100,2023-01-11,6,0,,,0,0,,,0,0,,,0,0,8100,2023-01-11,C,2023-02-02,,
2023-01-21,2,9,S52732,B310153503,E23W1W0201,62,T,SSA,SSA162,STS304SX,S304,CSS304CD,W,WR,DM,PK,SL,11,11,,S1099,LIEAN CHENG METAL,E2023010078,004,E23W01W0257,STS304SX,W,7730,N,2023-01-21,3,9W91,산세,1,300,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-21,B,2023-01-03,2023-01-03,2023-01-05,,\3,\3,\1,\1,,,,,8100,2023-01-15,11,0,,,0,0,,,0,0,,,0,0,8100,2023-01-15,B,2023-02-02,,
2023-01-21,2,9,S52429,B2C0093862,D23W1W0380,110,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,6,6,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,040,D23W01W0991,STS420FS2,W,7530,N,2023-01-21,3,9W91,산세,1,250,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-21,C,2022-12-01,2022-12-01,2022-12-03,,\1,\1,\3,\5,C,C,8301,2022-12-04,8100,2023-01-11,6,0,,,0,0,,,0,0,,,0,0,8100,2023-01-11,C,2023-02-02,,
2023-01-21,2,9,S52429,B2C0093855,E22WCW0262,110,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,5.5,5.5,,S1341,JIANGSU TRI-M,E2022120042,006,E22W12W0156,STS420FS2,W,7530,N,2023-01-21,3,9W91,산세,1,250,8100,소형압연,2,S13,SEAM,제품불량,표면,4,JR,폐기,2023-01-21,D,2022-12-01,2022-12-01,2022-12-03,,\1,\1,\4,\2,C,C,8301,2022-12-04,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,D,2023-02-02,,
