년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-06-28,2,9,S54437,B350630101,D23W6W1519,90,T,7730,SSH,SSH030,STS303S1,STS303S1,S303,303FM,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023060240,013,D23W06W1370,N,2023-06-28,3,9W91,산세,1,707,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-28,,2023-05-25,2023-05-26,2023-05-26,,\2,\2,\5,\6,A,A,8301,2023-06-24,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-06-28,2,9,S54437,B350630101,D23W6W1519,90,T,7730,SSH,SSH030,STS303S1,STS303S1,S303,303FM,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023060240,013,D23W06W1370,N,2023-06-28,3,9W91,산세,1,707,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-28,,2023-05-25,2023-05-26,2023-05-26,,\2,\2,\5,\6,A,A,8301,2023-06-24,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-07-25,2,9,S54811,B370237701,D23W7W1174,80,T,7730,SSJ,SSJ016,STS304HCS5,STS304HCS5,S304HC,304HC,W,WR,DH,PK,SL,30,30,,S1336,"SHIN JIN FASTENER CO.,LTD",D2023070199,013,D23W07W1235,N,2023-07-25,3,9W91,산세,1,"1,378",2Z00,2제강,2,S24,SCAB,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-06-30,2023-07-01,2023-07-01,,\2,\2,\1,\6,A,A,8301,2023-07-21,8100,2023-07-22,30,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,C,2023-08-07,,,C
2023-07-25,2,9,S54204,B350698003,D23W7W1114,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,32,32,,S1065,SEAH METAL CO. LTD,D2023080010,001,D23W07W1725,N,2023-07-25,3,9W91,산세,1,"1,291",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-05-01,2023-05-02,2023-05-02,,\4,\2,\1,\12,A,A,8301,2023-07-21,8100,2023-07-23,32,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,B,2023-08-07,,,C
2023-07-25,2,9,S54767,B360511200,D23W7W1183,90,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,CSS304F,W,WR,DM,PF,SL,28,28,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023070135,028,D23W07W1735,N,2023-07-25,3,9W91,산세,1,"1,461",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-07-25,B,2023-06-28,2023-06-28,2023-06-28,,\7,\4,\1,\1,A,A,B301,2023-07-20,8100,2023-07-22,28,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,B,2023-08-07,,,C
2023-07-25,2,9,S50365,B250890708,D23W7W0518,80,T,6780,SSM,SSM104,STS316LS2,STS316SG,S316LA,AISI316L,W,WR,DH,PK,SL,26,26,,S1065,SEAH METAL CO. LTD,D2023070016,004,D23W07W0015,N,2023-07-25,3,9W91,산세,1,678,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2022-05-16,2022-05-16,2022-05-17,,\5,\1,\6,\5,A,A,8301,2023-07-20,8100,2023-07-21,26,0,,,0,0,,,0,0,,,0,0,8100,2023-07-21,C,2023-08-07,,,C
2023-07-25,2,9,S50365,B250890708,D23W7W0518,80,T,6780,SSM,SSM104,STS316LS2,STS316SG,S316LA,AISI316L,W,WR,DH,PK,SL,26,26,,S1065,SEAH METAL CO. LTD,D2023070016,004,D23W07W0015,N,2023-07-25,3,9W91,산세,1,677,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2022-05-16,2022-05-16,2022-05-17,,\5,\1,\6,\5,A,A,8301,2023-07-20,8100,2023-07-21,26,0,,,0,0,,,0,0,,,0,0,8100,2023-07-21,C,2023-08-07,,,C
2023-06-26,2,9,S54526,B360244001,D23W6W1416,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023060215,029,D23W06W1414,N,2023-06-26,3,9W91,산세,1,"1,336",8100,소형압연,2,S13,SEAM,제품불량,표면,4,RG,수동연마추가,2023-06-26,D,2023-06-01,2023-06-01,2023-06-02,,\3,\3,\3,\4,A,A,8301,2023-06-25,8100,2023-06-26,27,0,,,0,0,,,0,0,,,0,0,8100,2023-06-26,D,2023-07-04,,,C
2023-06-22,2,9,S54181,B340675004,D23W6W1292,80,T,7730,SSA,SSA118,STS304S5,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,18,18,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023060257,012,D23W06W1963,N,2023-06-22,3,9W91,산세,1,"1,465",8100,소형압연,2,S13,SEAM,제품불량,표면,4,RG,수동연마추가,2023-06-22,B,2023-04-30,2023-04-30,2023-05-01,,\6,\5,\5,\6,,,,,8100,2023-06-22,18,0,,,0,0,,,0,0,,,0,0,8100,2023-06-22,B,2023-07-04,,,C
2023-06-07,2,9,S47765,B190812101,E23W3W0278,90,T,6830,SSA,SSA205,STS304MS5,STS304MS5,,SUS304,W,WR,DM,PF,SL,24,24,,S1394,MORY INDUSTRIES INC,E2023030082,007,E23W03W0302,N,2023-06-07,3,9W91,산세,1,"1,381",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-06-07,,2021-09-30,2021-09-30,2021-09-30,F,\1,\1,\4,\4,A,A,8301,2023-03-25,8100,2023-03-26,24,0,,,0,0,,,0,0,,,0,0,8100,2023-03-26,C,2023-07-04,,,C
2023-06-27,2,9,S53861,B330870300,D23W6W1431,80,T,7730,SSM,SSM202,316LDSZ,316LDSZ,,PSS316/316L,W,WR,DM,PK,SL,26,26,,20229,"DONG IL STEEL CO.,LTD.",D2023060125,002,D23W06W2054,N,2023-06-27,3,9W91,산세,1,"1,388",2Z00,2제강,2,S41,줄파임,제품불량,표면,4,RG,수동연마추가,2023-06-27,,2023-03-31,2023-03-31,2023-04-03,,\6,\2,\3,\9,A,A,8301,2023-06-22,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-06-22,2,9,S54215,B350598100,D23W6W0970,80,T,7730,SSM,SSM104,STS316LS2,STS316LS2,S316LA,AISI316L,W,WR,DH,PK,SL,16,16,,21583,ORIENSMETAL,D2023060128,002,D23W06W1363,N,2023-06-22,3,9W91,산세,1,"1,443",8100,소형압연,2,S13,SEAM,제품불량,표면,4,RG,수동연마추가,2023-06-22,A,2023-05-02,2023-05-02,2023-05-03,,\2,\1,\1,\11,A,A,8301,2023-06-15,8100,2023-06-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-06-21,A,2023-07-04,,,C
2023-07-25,2,9,S54188,B350698700,D23W7W1176,80,T,7730,SSA,SSA127,STS304LS2,STS304LS2,S304LA,AISI304L,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023070135,009,D23W07W0848,N,2023-07-25,3,9W91,산세,1,"1,497",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-04-30,2023-05-01,2023-05-01,,\2,\1,\3,\6,,,,,8100,2023-07-21,26,0,,,0,0,,,0,0,,,0,0,8100,2023-07-21,C,2023-08-07,,,C
2023-07-25,2,9,S54811,B370237700,D23W7W1174,80,T,7730,SSJ,SSJ016,STS304HCS5,STS304HCS5,S304HC,304HC,W,WR,DH,PK,SL,30,30,,S1336,"SHIN JIN FASTENER CO.,LTD",D2023070199,013,D23W07W1235,N,2023-07-25,3,9W91,산세,1,"1,362",2Z00,2제강,2,S24,SCAB,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-06-30,2023-07-01,2023-07-01,,\2,\2,\1,\4,A,A,8301,2023-07-21,8100,2023-07-22,30,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,C,2023-08-07,,,C
2023-07-25,2,9,S54491,B350669900,D23W7W0210,80,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023070148,009,D23W07W0972,N,2023-07-25,3,9W91,산세,1,250,2Z00,2제강,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-07-25,,2023-05-30,2023-05-30,2023-05-31,F,\6,\1,\4,\1,D,D,8301,2023-07-05,8100,2023-07-22,27,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,D,2023-08-07,,,C
