년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2022-01-30,2,9,S48706,B210134903,E22W1W0380,90,T,6830,SSH,SSH030,STS303S1,STS303S1,S303,AISI303,W,WR,DM,PK,SL,21,21,,S0494,MARCEGAGLIA S.P.A,E2022010031,003,E22W01W0458,N,2022-01-30,3,9W91,산세,1,"1,446",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,JR,폐기,2022-01-30,,2022-01-05,2022-01-05,2022-01-06,F,\4,\1,\3,\1,D,D,8301,2022-01-19,8100,2022-01-22,21,0,,,0,0,,,0,0,,,0,0,8100,2022-01-22,D,2022-02-07,,,C
2022-01-24,2,9,S48561,B1C0613905,E22W1W0401,82,T,6830,SSJ,SSJ025,STS304J3S9,STS304J3S9,S304J3,SUS304J3,W,WR,DH,PK,SL,18,18,,S1568,"KISHIWADA STAINLESS CO., LTD.",E2022010077,001,E22W01W0389,N,2022-01-24,3,9W91,산세,1,"1,453",2Z00,2제강,2,S41,줄파임,제품불량,표면,4,JR,폐기,2022-01-24,,2021-12-12,2021-12-12,2021-12-13,,\4,\1,\4,\2,A,A,8301,2022-01-12,8100,2022-01-20,18,0,,,0,0,,,0,0,,,0,0,8100,2022-01-20,B,2022-02-07,,,C
2022-01-27,2,9,S48727,B210300000,D22W1W1329,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,CSS304F,W,WR,DM,PK,SL,30,30,,S1582,MAN HO FROFILE,D2021110439,016,D22W01W0708,N,2022-01-27,3,9W91,산세,1,300,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2022-01-27,D,2022-01-06,2022-01-07,2022-01-07,,\6,\5,\6,\4,C,C,8301,2022-01-24,8100,2022-01-25,30,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,D,2022-02-07,,,C
2022-01-27,2,9,S48727,B210298900,D22W1W1319,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,28,28,,S0808,TPLEX.CO.Ltd.,D2022010210,007,D22W01W0604,N,2022-01-27,3,9W91,산세,1,160,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2022-01-27,C,2022-01-06,2022-01-07,2022-01-07,,\6,\5,\1,\12,C,C,8301,2022-01-24,8100,2022-01-24,28,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,C,2022-02-07,,,C
2022-02-26,2,9,S49007,B210702901,D22W2W1314,80,T,6830,SSM,SSM104,STS316LS2,STS316LS2,S316LA,AISI316L,W,WR,DH,PK,SL,31,31,,S1065,SEAH METAL CO. LTD,D2022020228,010,D22W02W1431,N,2022-02-26,3,9W91,산세,1,"1,501",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-02-26,D,2022-01-28,2022-01-28,2022-01-29,,\1,\1,\4,\4,A,A,8301,2022-02-21,8100,2022-02-24,31,0,,,0,0,,,0,0,,,0,0,8100,2022-02-24,D,2022-03-03,,,C
2022-01-26,2,9,S48809,B210374406,D22W1W1455,80,T,7720,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D2022010287,010,D22W01W2304,N,2022-01-26,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-26,B,2022-01-12,2022-01-13,2022-01-17,,\1,\1,\2,\4,A,A,8301,2022-01-20,8100,2022-01-25,32,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,B,2022-02-07,,,C
2022-01-26,2,9,S48726,B210302904,D22W1W1355,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2022010287,005,D22W01W2297,N,2022-01-26,3,9W91,산세,1,200,8100,소형압연,2,S31,스크래치,제품불량,표면,4,JR,폐기,2022-01-26,C,2022-01-06,2022-01-07,2022-01-07,,\6,\4,\6,\11,C,C,8301,2022-01-25,8100,2022-01-26,33,0,,,0,0,,,0,0,,,0,0,8100,2022-01-26,C,2022-02-07,,,C
2022-06-19,2,9,S50678,B260099901,D22W6W0767,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2022060251,006,D22W06W1616,N,2022-06-19,3,9W91,산세,1,300,9200,산세,2,H14,권취불량,제품불량,형상,4,JR,폐기,2022-06-19,C,2022-06-05,2022-06-05,2022-06-06,,\6,\3,\1,\13,A,A,8301,2022-06-16,8100,2022-06-18,21,0,,,0,0,,,0,0,,,0,0,8100,2022-06-18,D,2022-07-04,,,C
2022-06-19,2,9,S50678,B260099800,D22W6W0766,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2022060253,004,D22W06W1520,N,2022-06-19,3,9W91,산세,1,200,8100,소형압연,2,H14,권취불량,제품불량,형상,4,JR,폐기,2022-06-19,D,2022-06-05,2022-06-05,2022-06-06,,\6,\3,,,A,A,8301,2022-06-16,8100,2022-06-18,21,0,,,0,0,,,0,0,,,0,0,8100,2022-06-18,D,2022-07-04,,,C
2022-06-25,2,9,S50587,B250797300,D22W6W1307,110,T,6830,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,31,31,,S0808,TPLEX.CO.Ltd.,D2022060246,015,D22W06W1511,N,2022-06-25,3,9W91,산세,1,250,8100,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-06-25,D,2022-05-30,2022-05-30,2022-06-02,F,\4,\1,\5,\3,A,A,8301,2022-06-19,8100,2022-06-22,31,0,,,0,0,,,0,0,,,0,0,8100,2022-06-22,D,2022-07-04,,,C
