년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2024-04-28,2,9,S57283,B440412202,D24W4W1343,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D990601580,10,D24W04W1065,N,2024-04-28,3,9W91,산세,1,"1,415",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2024-04-28,,2024-04-05,2024-04-05,2024-04-08,F,4,1,3,2,A,A,8301,2024-04-27,8100,2024-04-28,32,0,,,0,0,,,0,0,,,0,0,8100,2024-04-28,C,2024-05-03,,,C
2023-07-25,2,9,S54525,B360506700,D23W7W1115,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,32,32,,S1065,SEAH METAL CO. LTD,D2023080010,001,D23W07W1725,N,2023-07-25,3,9W91,산세,1,"1,306",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-06-01,2023-06-01,2023-06-02,,3,2,6,10,A,A,8301,2023-07-21,8100,2023-07-23,32,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,B,2023-08-07,,,C
2023-07-25,2,9,S54524,B360507709,D23W7W1123,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DZ,PF,SL,34,34,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023070135,008,D23W07W0791,N,2023-07-25,3,9W91,산세,1,"1,302",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-07-25,C,2023-06-01,2023-06-01,2023-06-02,,3,1,3,10,A,A,8301,2023-07-21,8100,2023-07-23,34,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,C,2023-08-07,,,C
2023-10-12,2,9,S54521,B360595303,D23WAW0591,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,34,34,,S0808,TPLEX.CO.Ltd.,D2023100173,011,D23W10W1333,N,2023-10-12,3,9W91,산세,1,"1,301",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-10-12,,2023-06-01,2023-06-01,2023-06-01,,6,4,3,3,A,A,8301,2023-09-23,8100,2023-09-27,34,0,,,0,0,,,0,0,,,0,0,8100,2023-09-27,B,2023-11-02,,,C
2023-05-30,2,9,S54208,B350355000,D23W5W1258,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D2023050310,024,D23W05W1872,N,2023-05-30,3,9W91,산세,1,"1,472",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-05-30,C,2023-05-02,2023-05-02,2023-05-02,,4,2,1,8,,,,,8100,2023-05-29,32,0,,,0,0,,,0,0,,,0,0,8100,2023-05-29,C,2023-06-02,,,C
2024-04-29,2,9,S57284,B440410901,D24W4W1330,92,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DZ,PF,SL,29,29,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2024040043,008,D24W04W0319,N,2024-04-29,3,9W91,산세,1,250,2Z00,2제강,2,S11,종크랙,제품불량,표면,4,JR,폐기,2024-04-29,,2024-04-05,2024-04-05,2024-04-08,,4,2,6,2,A,A,8301,2024-04-25,8100,2024-04-26,29,0,,,0,0,,,0,0,,,0,0,8100,2024-04-26,D,2024-05-03,,,C
2024-04-29,2,9,S57283,B440413002,D24W4W1350,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,34,34,,S0808,TPLEX.CO.Ltd.,D990601584,40,D24W04W0881,N,2024-04-29,3,9W91,산세,1,"1,421",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2024-04-29,B,2024-04-05,2024-04-05,2024-04-08,,4,1,3,7,A,A,B301,2024-04-27,8100,2024-04-29,34,0,,,0,0,,,0,0,,,0,0,8100,2024-04-29,B,2024-05-03,,,C
2024-05-17,2,9,S55061,B380005747,D24W5W0709,100,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DZ,PF,SL,17,17,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D990602252,20,D24W05W1775,N,2024-05-17,3,9W91,산세,1,"1,392",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2024-05-17,,2023-07-23,2023-07-23,2023-07-24,,2,2,3,6,D,D,8301,2023-08-09,8100,2024-05-17,17,0,,,0,0,,,0,0,,,0,0,8100,2024-05-17,C,2024-06-02,,,C
2023-10-30,2,9,S54804,B360619502,D23WAW1164,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023100173,006,D23W10W1328,N,2023-10-30,3,9W91,산세,1,"1,444",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-10-30,B,2023-06-30,2023-06-30,2023-07-03,,3,2,3,10,A,A,8301,2023-10-25,8100,2023-10-30,27,0,,,0,0,,,0,0,,,0,0,8100,2023-10-30,B,2023-11-02,,,C
2024-05-24,2,9,S57597,B450305602,D24W5W1062,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D990602209,10,D24W05W1456,N,2024-05-24,3,9W91,산세,1,702,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2024-05-24,,2024-05-04,2024-05-05,2024-05-06,,4,4,,,A,A,B301,2024-05-20,8100,2024-05-23,21,0,,,0,0,,,0,0,,,0,0,8100,2024-05-23,D,2024-06-02,,,C
