Time;[110:2];[110:10];[112:28];[112:29];[6.0]
09.03.2025 14:00:23.929376;10.6244;0;408;1;0
09.03.2025 14:00:24.029376;10.9972;0;408;1;0
09.03.2025 14:00:24.129376;10.438;0;408;1;0
09.03.2025 14:00:24.229376;10.438;0;408;1;0
09.03.2025 14:00:24.329376;10.438;0;408;1;0
09.03.2025 14:00:24.429376;9.87884;0;408;1;0
09.03.2025 14:00:24.529376;9.87884;0;408;1;0
09.03.2025 14:00:24.629376;9.31966;0;408;1;0
09.03.2025 14:00:24.729376;9.22647;0;408;1;0
09.03.2025 14:00:24.829376;9.22647;0;408;1;0
09.03.2025 14:00:24.929376;9.97204;0;408;1;0
09.03.2025 14:00:25.029376;9.87884;0;408;1;0
09.03.2025 14:00:25.129376;9.50606;0;408;1;0
09.03.2025 14:00:25.229376;9.69245;0;408;1;0
09.03.2025 14:00:25.329376;10.6244;0;408;1;0
09.03.2025 14:00:25.429376;10.904;0;408;1;0
09.03.2025 14:00:25.529376;10.6244;0;408;1;0
09.03.2025 14:00:25.629376;10.2516;0;408;1;0
09.03.2025 14:00:25.729376;9.97204;0;408;1;0
09.03.2025 14:00:25.829376;9.13327;0;408;1;0
09.03.2025 14:00:25.929376;8.94688;0;408;1;0
09.03.2025 14:00:26.029376;8.76048;0;408;1;0
09.03.2025 14:00:26.129376;10.2516;0;408;1;0
09.03.2025 14:00:26.229376;10.6244;0;408;1;0
09.03.2025 14:00:26.329376;10.5312;0;408;1;0
09.03.2025 14:00:26.429376;10.5312;0;408;1;0
09.03.2025 14:00:26.529376;10.8108;0;408;1;0
09.03.2025 14:00:26.629376;10.6244;0;408;1;0
09.03.2025 14:00:26.729376;10.3448;0;408;1;0
09.03.2025 14:00:26.829376;9.59925;0;408;1;0
09.03.2025 14:00:26.929376;8.85368;0;408;1;0
09.03.2025 14:00:27.029376;9.50606;0;408;1;0
09.03.2025 14:00:27.129376;9.04007;0;408;1;0
09.03.2025 14:00:27.229376;9.41286;0;408;1;0
09.03.2025 14:00:27.329376;10.2516;0;408;1;0
09.03.2025 14:00:27.429376;10.3448;0;408;1;0
09.03.2025 14:00:27.529376;10.5312;0;408;1;0
09.03.2025 14:00:27.629376;10.438;0;408;1;0
09.03.2025 14:00:27.729376;10.438;0;408;1;0
09.03.2025 14:00:27.829376;10.5312;0;408;1;0
09.03.2025 14:00:27.929376;9.69245;0;408;1;0
09.03.2025 14:00:28.029376;10.1584;0;408;1;0
09.03.2025 14:00:28.129376;10.2516;0;408;1;0
09.03.2025 14:00:28.229376;9.87884;0;408;1;0
09.03.2025 14:00:28.329376;9.69245;0;408;1;0
09.03.2025 14:00:28.429376;9.50606;0;408;1;0
09.03.2025 14:00:28.529376;9.41286;0;408;1;0
09.03.2025 14:00:28.629376;9.31966;0;408;1;0
09.03.2025 14:00:28.729376;9.78565;0;408;1;0
09.03.2025 14:00:28.829376;9.87884;0;408;1;0
09.03.2025 14:00:28.929376;10.1584;0;408;1;0
09.03.2025 14:00:29.029376;10.7176;0;408;1;0
09.03.2025 14:00:29.129376;10.9972;0;408;1;0
09.03.2025 14:00:29.229376;10.6244;0;408;1;0
09.03.2025 14:00:29.329376;10.438;0;408;1;0
09.03.2025 14:00:29.429376;10.3448;0;408;1;0
09.03.2025 14:00:29.529376;10.9972;0;408;1;0
09.03.2025 14:00:29.629376;10.7176;0;408;1;0
09.03.2025 14:00:29.729376;10.0652;0;408;1;0
09.03.2025 14:00:29.829376;10.1584;0;408;1;0
09.03.2025 14:00:29.929376;10.5312;0;408;1;0
09.03.2025 14:00:30.029376;10.1584;0;408;1;0
09.03.2025 14:00:30.129376;10.0652;0;408;1;0
09.03.2025 14:00:30.229376;9.87884;0;408;1;0
09.03.2025 14:00:30.329376;9.87884;0;408;1;0
09.03.2025 14:00:30.429376;9.50606;0;408;1;0
09.03.2025 14:00:30.529376;9.50606;0;408;1;0
09.03.2025 14:00:30.629376;9.50606;0;408;1;0
09.03.2025 14:00:30.729376;9.50606;0;408;1;0
09.03.2025 14:00:30.829376;8.94688;0;408;1;0
09.03.2025 14:00:30.929376;9.31966;0;408;1;0
09.03.2025 14:00:31.029376;9.87884;0;408;1;0
09.03.2025 14:00:31.129376;10.1584;0;408;1;0
09.03.2025 14:00:31.229376;9.78565;0;408;1;0
09.03.2025 14:00:31.329376;10.0652;0;408;1;0
09.03.2025 14:00:31.429376;10.9972;0;408;1;0
09.03.2025 14:00:31.529376;10.438;0;408;1;0
09.03.2025 14:00:31.629376;9.78565;0;408;1;0
09.03.2025 14:00:31.729376;9.50606;0;408;1;0
09.03.2025 14:00:31.829376;10.2516;0;408;1;0
09.03.2025 14:00:31.929376;9.97204;0;408;1;0
09.03.2025 14:00:32.029376;9.41286;0;408;1;0
09.03.2025 14:00:32.129376;9.50606;0;408;1;0
09.03.2025 14:00:32.229376;9.87884;0;408;1;0
09.03.2025 14:00:32.329376;10.438;0;408;1;0
09.03.2025 14:00:32.429376;10.0652;0;408;1;0
09.03.2025 14:00:32.529376;10.904;0;408;1;0
09.03.2025 14:00:32.629376;10.438;0;408;1;0
09.03.2025 14:00:32.729376;10.438;0;408;1;0
09.03.2025 14:00:32.829376;10.3448;0;408;1;0
09.03.2025 14:00:32.929376;10.0652;0;408;1;0
09.03.2025 14:00:33.029376;9.69245;0;408;1;0
09.03.2025 14:00:33.129376;9.31966;0;408;1;0
09.03.2025 14:00:33.229376;8.94688;0;408;1;0
09.03.2025 14:00:33.329376;9.87884;0;408;1;0
09.03.2025 14:00:33.429376;10.2516;0;408;1;0
09.03.2025 14:00:33.529376;10.6244;0;408;1;0
09.03.2025 14:00:33.629376;10.7176;0;408;1;0
09.03.2025 14:00:33.729376;10.5312;0;408;1;0
09.03.2025 14:00:33.829376;9.87884;0;408;1;0
